Page Name,Description,Hierarchy Level,Objective,Page Link,Status,Tags,Type,Duplicate/Overlap Status,Parent Page,Reading Time (min)
ITERATION 2: Calibrating Against Section 1.2,Second calibration iteration testing on demographic statistics section,3,Content Production,https://www.notion.so/2fc573052253459699f9060123c091d9,Active,"Calibration, Iteration Cycle",Iteration/Phase,,Framework Solidification: From Fluid Measures to Specific Text Quality Model,45
ITERATION 3: Calibrating Against Section 1.3,Third calibration iteration testing genealogical hypothesis section,3,Content Production,https://www.notion.so/058c17d5d7b540d8bcaa62f010d2ba6d,Active,"Calibration, Iteration Cycle",Iteration/Phase,,Framework Solidification: From Fluid Measures to Specific Text Quality Model,45
ITERATION 4: Calibrating Against Section 1.4 (Final),Final calibration iteration testing argument synthesis and forward-looking structure,3,Content Production,https://www.notion.so/077f58b7c4c348e1ad8b061cb4102b66,Active,"Calibration, Iteration Cycle",Iteration/Phase,,Framework Solidification: From Fluid Measures to Specific Text Quality Model,50
ITERATION 1: Calibrating Against Preface + Section 1.1,First calibration iteration establishing baseline from ground truth,3,Content Production,https://www.notion.so/4af2755085a74dbaaab38f83e42d9c7e,Active,"Calibration, Iteration Cycle",Iteration/Phase,,Framework Solidification: From Fluid Measures to Specific Text Quality Model,45
Book Project Knowledge,Knowledge hub for book writing project,1,Content Production,https://www.notion.so/73114746575348099f7f555675b3b1b5,Active,"Guide/Documentation, Manuscript Content",Hub/Index,,,15
Chapter One guiding the rest of the book (1),Chapter one guiding content version,,Content Production,https://www.notion.so/2acf832e52ca817289c5d2abcde41c86,Active,,Manuscript,,,
Ch 7: Civil Society and Labor Resources,Civil society capacity and labor organization analysis,2,Content Production,https://www.notion.so/bb62614302f449bdb8ef82783b60a15b,Active,Manuscript Content,Iteration/Phase,,,60
Ch 25: Healthcare Equity,AI in healthcare and equity considerations,2,Content Production,https://www.notion.so/13a9a3ecdff34d6986923f8053154bc0,Active,Manuscript Content,Iteration/Phase,,,65
"Chapter 4: Section 4.1 - The Educational Void: 406,964 Missing Teachers",Educational void quantification,,Content Production,https://www.notion.so/8ac911c63864459787abcd358ea3d0b2,Active,,Manuscript,,,
Chapter 1: Section 1.4 - Introducing the Void Fraction Framework,Void fraction framework introduction,,Content Production,https://www.notion.so/7067721463fb47f89684b9a47b0f36ef,Active,,Manuscript,,,
Chapter 3: Section 3.1 - The 40.5% Reality,Analysis of demographic reality,,Content Production,https://www.notion.so/548a72bb6cf84702a8d6d6c27b219fd5,Active,,Manuscript,,,
Chapter 1: Section 1.3 - The Genealogical Inheritance Hypothesis,Genealogical inheritance analysis,,Content Production,https://www.notion.so/16a1cb7d669e47fda8e66a9b92b894fa,Active,,Manuscript,,,
Chapter 4: Section 4.2 - The Stewardship Void: The $1.2-4.8 Trillion Question,Stewardship void analysis,,Content Production,https://www.notion.so/7031128648a64ed68ff634137d09383b,Active,,Manuscript,,,
Chapter One guiding the rest of the book,Chapter one guiding content,,Content Production,https://www.notion.so/a529d48ea1304ac298da870d4c827c5f,Active,,Manuscript,,,
📑 COMPLETE CHAPTER OUTLINE: All 29 Chapters with Summaries,Complete chapter outline with summaries,,Content Production,https://www.notion.so/a805b99e61d241fda4c116a39750f79a,Active,,Guide,,,
Chapter One Guiding Rest of Book,Chapter one guiding framework,,Content Production,https://www.notion.so/3f78214049d44943bd01a15fab116a3e,Active,,Manuscript,,,
Crypto Rush,Trump crypto ventures and investor harm quantification,,Content Production,https://www.notion.so/45934f0f315c4eaf9bb3eab78160180d,Active,,Manuscript,,,
Victimless Crime,Economic extraction framing analysis,,Content Production,https://www.notion.so/36bd590e1c664a8ca51a1c57e8d4c37f,Active,,Manuscript,,,
Cultural Identity Fabrication,Analysis of cultural and geo-identity rewrites,,Content Production,https://www.notion.so/065bf8463865491e89158dd572c2be59,Active,,Manuscript,,,
Book Project Knowledge,Book project knowledge base and resources,,Content Production,https://www.notion.so/73114746575348099f7f555675b3b1b5,Active,,Hub/Index,,,
Truth Blindness,Erosion of truth and institutions,,Content Production,https://www.notion.so/3a0917cf5d2b4f7290c88eda54c9cfe0,Active,,Manuscript,,,
The 80 Year Lie,Analysis of Trump family legacy of deception,,Content Production,https://www.notion.so/7e5e5324f36145b39951ac6a15b41dfe,Active,,Manuscript,,,
What We Can Create RIGHT NOW,Assessment of immediately achievable deliverables,2,Content Production,https://www.notion.so/fc7162fe8a3a4a97b53d20b78953a73a,Active,Guide/Documentation,Analysis/Report,Duplicate,Book Project Knowledge,25
Social Systems Case Studies,Case studies on social systems,2,Content Production,https://www.notion.so/399bdf41b4db4fa6a2c652a5efe9ca2f,Active,Manuscript Content,Analysis/Report,,Case Study Library,45
Policy Case Studies,Policy analysis case studies,2,Content Production,https://www.notion.so/3fc176bbc3b943039aa0c3b4116f24e0,Active,Manuscript Content,Analysis/Report,,Case Study Library,40
Void Fraction Framework,Social absence measurement framework,2,Content Production,https://www.notion.so/69fdc20276c94fb9bd7f5eb5a00b16cf,Active,Mathematical Framework,Method/Framework,,,60
Case Study Library,Collection of case studies,,Content Production,https://www.notion.so/b7883c8782ca43f0b841f37eefc056c8,Active,,Hub/Index,,,
