Name,Constraints,Function Category,Instance ID,Protocol,Relation,Scope
Audit: Coherence,"Coherence, Evidence-Based",Analysis,b6f5de44,"Examine all structural units for logical flow, transitional clarity, and argument progression; identify coherence gaps requiring intervention.",ACROSS,"Chapter, Section"
Count: Cross-References,"Coherence, Evidence-Based",Analysis,523bac43,"Count current cross-references per 10,000 words (baseline: 2-4, target: 12-20).",ACROSS,"Document, Section"
Document: Lexical Repetition,"Precision, Variation",Analysis,0417d205,"Document all instances of problematic repetition (e.g., forty-point-five percent appearing 8+ times).",ACROSS,"Document, Section"
Establish: Coherence Baseline,"Coherence, Evidence-Based",Analysis,68ab4193,Establish overall coherence baseline score to measure improvement (current: 0.73).,ACROSS,Document
Identify: Improvement Sections,"Clarity, Coherence",Analysis,195b109f,Identify all sections requiring improvement based on coherence audit findings.,WITHIN,Section
Map: Implicit Discourse Relations,"Coherence, Flow",Analysis,ff012b38,Map implicit discourse relations needing explicit connectives to improve transitional clarity.,BETWEEN,"Paragraph, Section"
Track: Connective Density,"Coherence, Evidence-Based",Analysis,1ceaa369,Track current connective density across sections to establish baseline metrics.,ACROSS,Section
Add: Section Bridges,"Coherence, Flow",Enhancement,402cb719,"Add transitional bridges between sections (e.g., 'Building on this demographic evidence' for 1.2→1.3 transition).",BETWEEN,Section
Deploy: Additive Connectives,"Coherence, Flow",Enhancement,969a53ec,"Deploy additive connectives: furthermore, moreover, in addition to build cumulative arguments.",WITHIN,"Paragraph, Section"
Deploy: Causal Connectives,"Clarity, Coherence",Enhancement,d33ed773,"Deploy causal connectives: therefore, consequently, as a result, thus to strengthen argument flow.",WITHIN,"Paragraph, Section"
Deploy: Contrastive Connectives,"Clarity, Coherence",Enhancement,9c6f35a9,"Deploy contrastive connectives: nevertheless, conversely, on the other hand, yet beneath to mark contrasts.",WITHIN,"Paragraph, Sentence"
Insert: Cross-Chapter Transitions,"Coherence, Flow",Enhancement,b8392f12,"Insert cross-chapter transitions using connectives like 'Consequently,' 'This evidence suggests,' 'Following from this analysis.'",BETWEEN,Chapter
Strengthen: Contrast Points,"Coherence, Flow",Enhancement,421cd87b,Strengthen contrast points with explicit markers like 'Yet beneath' and 'However' for clarity.,WITHIN,"Paragraph, Sentence"
Add: Backward References,Coherence,Integration,6e24fb98,"Add backward references: 'As established in Section 1.4,' 'Recall from Chapter 2,' 'Building on the framework introduced in 1.4.'",FROM-TO,"Paragraph, Section"
Add: Forward References,Coherence,Integration,017dff77,"Add forward references: 'As we will explore in Section X,' 'This pattern will become significant in Chapter Y.'",FROM-TO,"Paragraph, Section"
Add: Lateral References,Coherence,Integration,9e558900,"Add lateral references: 'Compare this to the analysis in Section X,' 'This echoes the pattern observed in Y.'",BETWEEN,"Paragraph, Section"
Cross-Reference: Framework Applications,"Academic, Coherence",Integration,c8d4949a,Reference void fraction framework from Chapter 1 in Chapter 2+ transitions to maintain conceptual continuity.,FROM-TO,Section
Cross-Reference: Statistical Anchors,"Evidence-Based, Precision",Integration,315e2f18,"Reference statistical anchors (40.5%, 406,964) consistently across sections to reinforce key findings.",FROM-TO,Section
Link: Framework to Evidence,"Coherence, Flow",Integration,9af6fc08,"Connect distributed analytical content back to core theoretical framework, reinforcing conceptual unity.",FROM-TO,Section
Synthesize: Multiple Sections,Coherence,Integration,498f10a4,Create synthesis by referencing multiple earlier sections in final sections to demonstrate integration.,ACROSS,"Chapter, Section"
Alternate: Family Structure Terms,"Academic, Variation",Optimization,545d95ef,"Vary 'family structure' with 'familial structure', 'household composition', 'family formation patterns', 'domestic arrangements'.",WITHIN,"Paragraph, Section"
Alternate: Lexical Choices,"Style, Variation",Optimization,09094edc,"Vary 'void fraction' with 'the framework', 'this metric', 'ε'; vary 'United States' with 'America', 'the nation'.",WITHIN,"Paragraph, Section"
Reduce: Verbatim Repetition,"Flow, Variation",Optimization,af534ca1,Reduce verbatim repetition by 30-40% through strategic pronoun use and lexical variation.,ACROSS,"Paragraph, Section"
Replace: Repeated Noun Phrases,"Clarity, Flow",Optimization,84033b3b,"Substitute pronouns for repeated institutional or actor references when antecedent is unambiguous (e.g., 'The void fraction framework... It').",WITHIN,"Paragraph, Sentence"
Replace: Technical Term Repetition,"Flow, Variation",Optimization,feb91414,Use 'It' for singular technical terms appearing consecutively; keep first mention as full noun phrase.,WITHIN,"Paragraph, Sentence"
Vary: Statistical References,"Precision, Variation",Optimization,1613f7a3,"Reduce 'forty-point-five percent' from 8+ to 3-4 instances; vary with '40.5%', 'two-fifths', 'this rate', 'the 40.5% figure'.",WITHIN,"Paragraph, Section"
Ensure: Statistical Consistency,"Evidence-Based, Precision",Validation,c87e4a1a,"Verify 40.5% appears with appropriate frequency; check 406,964 children figure consistency; validate $1.2-4.8T cost range usage.",ACROSS,"Document, Section"
Validate: Reference Accuracy,"Evidence-Based, Precision",Validation,06455256,Check forward/backward references valid; ensure no broken or circular references; validate chapter/section numbering.,ACROSS,"Chapter, Section"
Verify: Connective Additions,"Coherence, Evidence-Based",Validation,5a50a0ff,Verify 8-12 strategic connectives added; run PDTB analysis to confirm reduced implicit relations ratio.,ACROSS,Section
Verify: Pronoun Clarity,Clarity,Validation,b03efbab,Verify no ambiguous pronoun references created; check entity grid S→S transitions improved.,WITHIN,"Paragraph, Sentence"
