Tool Name,Loss Level,Notes,Optimal Input / Best Practices,Philosophy of Design,Reduction Max %,Reduction Min %,Size Reduction Description,Tier,Input Type,Semantic Blind
xxhash/blake3,Very High,"Lookup only, not recovery","D: No size limits; BP: xxhash64 for speed, blake3 for cryptographic security; use for dedup, caching, lineage",Content-addressable hashing; deterministic IDs,99.99,99.9,99.9%+ reduction,Tier 3: Structured State,Any,Yes
simhash,Very High,64-bit fingerprint,"D: f=64 or 128 bits; BP: Hamming distance ≤3 = near-duplicate for 64-bit; use for web crawl dedup, plagiarism",Locality-sensitive hashing; near-duplicate detection,99.9,99,99%+ reduction,Tier 3: Structured State,Text,No
pandas rolling(),Medium-High,Summary stats,"BP: Window size 5-100 events; 5-10 for real-time, 50-100 for hourly/daily aggregates; use min_periods to handle gaps",Windowed aggregation; statistics over intervals,99,80,80-99% reduction,Tier 4: Time-Series,Time-Series,Yes
datasketch MinHash,High,Set membership only,"D: num_perm=128-256 (more = accurate, slower); BP: Use for doc deduplication, clustering; 128 perms gives ~2% error",Probabilistic similarity; Jaccard estimation with fixed size,99,90,90-99% reduction,Tier 3: Structured State,Text,No
Sentence-Transformers pooling,High,Full doc → 1 vector,"D: Chunk size 128-512 tokens; BP: Use mean pooling for general text, CLS token for trained models, max pooling rarely",Aggregate token embeddings; sentence-level representation,99,99,~100× reduction,Tier 2: Embedding,Text,No
AutoCompressor,Medium-High,Context → dense embeddings,D: 4K-100K tokens; BP: Amortize compression cost over multiple queries; best for static knowledge bases,Learn soft prompt representations of long context; trading space for computation,99,95,95%+ reduction,Tier 1: Semantic,Text,No
SAX,High,Pattern matching,"D: Alphabet size a=3-10, word length w=8-16; BP: a=5 (5 symbols), w=10 typical; use for motif discovery, clustering",Symbolic discretization; convert to alphabet,98,80,80-98% reduction,Tier 4: Time-Series,Time-Series,Yes
FAISS + PQ,Medium,768d → 96 bytes typical,"D: Train on ≥10K vectors, deploy on 100K+; BP: M=8-96 subvectors (M=dim/8 typical), nbits=8 for 768d embeddings",Product quantization; approximate vectors with codebooks,96.9,87.5,8-32× reduction,Tier 2: Embedding,Vectors/Embeddings,Yes
Redis TTL tiers,Adaptive,Hot/warm/cold,"BP: Hot (1-60 min TTL), Warm (1-24 hours), Cold (1-7 days); tier boundaries depend on access patterns; use EXPIRE for auto-eviction",Time-based decay; compress by age,95,0,Variable (0-95%),Tier 5: Hierarchical/Adaptive,Any,Yes
Neo4j subgraph queries,Low,Lazy evaluation,"D: LIMIT subgraph to 100-10K nodes per query; BP: Use APOC for path expansion, limit hops to 2-5; paginate large result sets","On-demand loading; store relationships, fetch context",95,0,Variable,Tier 5: Hierarchical/Adaptive,Graphs,Yes
PAA,Medium,Smooths signals,"D: Segment size w=3-20; BP: w=5-10 for typical time series; smaller w = more detail, larger w = smoother",Segment averaging; piecewise constant approximation,95,70,70-95% reduction,Tier 4: Time-Series,Time-Series,Yes
tslearn TimeSeriesResampler,Medium-High,Configurable rate,"BP: Downsample 10:1 or 100:1 for visualization; use mean for smooth signals, max for spikes; preserve Nyquist frequency",Downsampling; reduce frequency while preserving shape,95,50,50-95% reduction,Tier 4: Time-Series,Time-Series,Yes
