Criterion Name,Category,Complexity,Description,Formula/Method,Framework Source,Implementation Status,Level,Performance (ρ),Place,Research Dataset,Tools,Type
Subject-Verb Agreement,Grammar,O(n),Count of subject-verb agreement errors in text,,e-rater,Planned,Sentence,,,,"NLTK, spaCy",Quantitative
Discourse Marker Density,Discourse,O(n),Ratio of discourse markers per 100 words,connective_count / (word_count / 100),"PDTB, e-rater",Planned,"Document, Sentence",,,,"Custom, NLTK",Quantitative
LSA Cosine Similarity,Semantics,O(n³) for SVD,Semantic similarity between adjacent text segments using Latent Semantic Analysis,"cosine(LSA_vector_i, LSA_vector_j)","IEA, LSA",Planned,"Document, Paragraph, Sentence",0.55,,GCDC,"Gensim, sklearn",Quantitative
Topic Consistency (LDA),Semantics,O(n³),Topic distribution similarity across text segments,Topic overlap or KL divergence between segments,LSA,Planned,"Document, Paragraph, Section",0.5,,,"BERTopic, Gensim",Quantitative
Topic Sentence Presence,Structural,,Each paragraph has clear topic sentence,First sentence semantic centrality to paragraph,Custom,Planned,Paragraph,,,,"Custom, SBERT",Qualitative
Claims-Evidence Alignment,Argumentation,,Academic: claims reference results/data in same paper,Backward reference checking from claim sentences,Custom,Future,"Document, Paragraph",0.63,,ASAP,Custom,Qualitative
Event Graph Connectivity,Structural,O(n²),Fiction: events connect in logical sequence,"Graph connectivity metrics on (Action, Subject, Object, Time) tuples",Custom,Future,Document,,,,Custom,Quantitative
Terminology Consistency,Coherence,O(n),Same concept = same term throughout (technical writing),term_consistency_ratio = repeated_terms / total_unique_terms,Custom,Planned,"Document, Word",,,,"Custom, spaCy",Quantitative
,,,,,,,,,,,,
Pronoun Clarity,Coherence,,"Whether pronouns have clear, unambiguous antecedents",Binary per pronoun; ambiguous_pronouns / total_pronouns,Coh-Metrix,Planned,Sentence,,,,"AllenNLP, spaCy",Qualitative
Bibliographic Coupling,Structural,O(n²),Cited papers share references with each other,Jaccard similarity on reference lists,Custom,Future,Document,,,,Custom,Quantitative
Capacity-Weighted Jaccard,Structural,O(n),Reference overlap weighted by entity capacity/significance in hierarchy,weighted_intersection / weighted_union where weights = entity_capacity,Custom,Implemented,Multi-scale,,,,Custom,Quantitative
,,,,,,,,,,,,
Paragraph Transition Quality,Coherence,,Smoothness and logical connection between paragraphs,Presence of transition phrases; topic continuity,Custom,Planned,Paragraph,,,,Custom,Qualitative
Toulmin Warrants,Argumentation,,Explicit reasoning connecting evidence to claims,Presence/absence; warrant quality assessment,Toulmin,Future,"Paragraph, Sentence",0.58,,ASAP,Custom,Qualitative
Paragraph Length Balance,Structural,O(n),Appropriate and varied paragraph lengths,std_dev(paragraph_length); outlier detection,Custom,Planned,"Document, Paragraph",,,,Custom,Quantitative
Spatial Consistency,Coherence,,"Fiction: consistent setting descriptions, logical movement",Location contradiction detection,Custom,Future,Document,,,,Custom,Qualitative
Tense Consistency,Grammar,,Consistent verb tense within scenes/sections,Tense shift detection; inappropriate_shifts / total_sentences,Custom,Planned,"Paragraph, Sentence",,,,spaCy,Qualitative
Narrative Schema Alignment,Structural,,"Fiction: follows recognizable patterns (Hero's Journey, 3-act, etc.)",Pattern matching to narrative templates,Custom,Future,Document,,,,Custom,Qualitative
Vocabulary Sophistication,Style,O(n),Word frequency-based sophistication; use of advanced vocabulary,avg_word_frequency_rank or rare_word_ratio,e-rater,Planned,"Document, Word",,,"ASAP, TOEFL11","Custom, NLTK",Quantitative
Citation Network Clustering,Structural,O(n²),Citations form coherent clusters (academic texts),Graph clustering coefficient on citation network,Custom,Future,Document,,,,Custom,Quantitative
Sentence Variety,Style,O(n),Variation in sentence length and complexity,std_dev(sentence_length); simple/compound/complex ratio,e-rater,Planned,"Document, Sentence",,,,"NLTK, spaCy",Quantitative
Logical Fallacy Detection,Argumentation,,"Presence of ad hominem, straw man, false dichotomy, etc.",Fallacy type classification,Custom,Future,"Paragraph, Sentence",,,,"Custom, HuggingFace",Qualitative
Logical Paragraph Breaks,Structural,,Paragraphs break at logical topic boundaries,Topic model consistency within paragraphs,e-rater,Planned,Paragraph,,,,Custom,Qualitative
Bloom's Cognitive Level,Argumentation,,Cognitive complexity: Knowledge/Comprehension vs Analysis/Synthesis/Evaluation,Classification of dominant cognitive level,Bloom's Taxonomy,Future,Document,0.58,,ASAP,"Custom, HuggingFace",Qualitative
Wrong Word Usage,Grammar,O(n),Contextually inappropriate word choices,contextual_error_count,e-rater,Planned,"Sentence, Word",,,,Custom,Quantitative
Toulmin Qualifiers,Argumentation,,"Use of hedging words (likely, probably, may)",Qualifier presence; appropriate usage assessment,Toulmin,Future,Sentence,,,,"Custom, NLTK",Qualitative
Cross-Reference Validity,Structural,,All cross-references point to existing entities,Broken reference count,Custom,Implemented,"Document, Multi-scale",,,,Custom,Qualitative
Temporal Flow Markers,Coherence,O(n),"Fiction: time markers for transitions (""the next day"", ""meanwhile"")",Temporal_markers / scene_transitions,Custom,Future,"Paragraph, Sentence",,,,"Custom, NLTK",Quantitative
Thesis Statement Presence,Argumentation,,Presence and clarity of main argument/thesis in introduction,Binary detection; thesis clarity rating,e-rater,Future,Document,0.55,,ASAP,"Custom, HuggingFace",Qualitative
Centering Continue Transitions,Entity-Based,O(s·e),Proportion of Continue transitions (same entity remains center) vs Retain or Shift,continue_count / total_transitions,Centering Theory,Planned,Sentence,0.6,,GCDC,"AllenNLP, Custom, spaCy",Quantitative
RST Relation Patterns,Discourse,O(n²),"Distribution and sequencing of rhetorical relations (Elaboration, Cause, Contrast)",Relation type frequencies; preferred sequences,RST,Future,"Document, Paragraph, Sentence",0.6,,GCDC,discopy,Qualitative
Methods-Results Alignment,Coherence,,Academic: 1:1 correspondence between methods and reported results,Orphan result detection,Custom,Future,Document,,,,Custom,Qualitative
Word Overlap (Jaccard),Structural,O(n·m),Lexical overlap between adjacent text segments,|A ∩ B| / |A ∪ B|,"Coh-Metrix, Custom",Planned,"Paragraph, Sentence",0.4,,,"NLTK, sklearn",Quantitative
