Block Title/Content,Block Target URL,Block Position,Position Description,Total Blocks,Block Content Preview,Block Type,Containing Page,Containing Page URL,Depth Level,Scale 0 Page,Scale 0 URL,Scale 1 Page,Scale 1 URL,Scale 2 Page,Scale 2 URL,Scale 3 Page,Scale 3 URL,Scale Level
Statement of Constraint,,1,,,"Critical Limitation: When using the control volume approach (Approach B), the size of the discrete co...",Heading 2,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4
Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,1,Only block link on parent page,1,,Page Link,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,2,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,,,3
Conceptual Review: Multi-Scale vs Multi-Phase Analogy,https://www.notion.so/ec63d04f7f6542eebc9084db25aa209e,1,1 of 3,3,,Page Link,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,1,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,,,,,2
Coherence Assessment Procedures,https://www.notion.so/e900e8b00d454cd6b880373be5ddf391,1,1 of 8,8,,Page Link,Linguistic Frameworks,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,1,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Linguistic Frameworks,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,,,,,2
ARTICLE COMPOSITION FRAMEWORK,https://www.notion.so/2b5f832e52ca810995b2c0ff34d09a56,1,1 of 13,13,,Page Link,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,0,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,,,,,,,1
Critical Limitation equation,,2,,,"w_mwt <= min_{i,k} w_{i,k} where N_{i,k} is a leaf node",Equation,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4
Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,2,2 of 3,3,,Page Link,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,1,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,,,,,2
Assessment Criteria Catalog and New data source,https://www.notion.so/ef5b3d68ccdc475195379e44f2c5fdfb,2,2 of 8,8,,Page Link,Linguistic Frameworks,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,1,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Linguistic Frameworks,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,,,,,2
DELIVERABLE SUMMARY,https://www.notion.so/2b5f832e52ca81f19aded4e7b51981fd,2,2 of 13,13,,Page Link,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,0,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,,,,,,,1
Divider 1,,3,,,---,Divider,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4
